,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
COLEC12,30.443069333428948,-1.5262112152304703,0.37686537086817484,-4.0497518031826,5.127198262161008e-05,0.006025597335430776
NCF1,12.497341826836777,-0.9270182628950755,0.25704393245976237,-3.60645845254562,0.0003104045314511532,0.021985370954188708
CLIC6,69.53778659166576,-2.5691115462031635,0.5181737403244897,-4.958011852538763,7.121821952204563e-07,0.0002329716828509309
DRC7,6.70396603043244,1.3203940945636805,0.37606575984475177,3.5110723590171258,0.0004463028981400032,0.028323274521760887
CHRNB2,37.065001170992225,0.8926005469579583,0.23338069817271048,3.824654540614153,0.0001309555814552439,0.012185781686675497
AQP5,18.989127270593148,-1.3747026285115005,0.3861766314505026,-3.5597768392873355,0.00037117007141810134,0.02527381445529565
ALOX15,58.38359086445485,-2.1939251848769334,0.45092315299027796,-4.865408152870418,1.1422084533292598e-06,0.00033907868418592025
BCL6B,38.70063980077903,1.8629690301797457,0.4055099752765874,4.594138600188725,4.345405024718209e-06,0.0009919715599952049
ELAVL4,13.689767691643116,2.5561079563862448,0.5394104862159915,4.738706461414108,2.1508681113439535e-06,0.0005503967422665724
ZYG11B,2231.5746659334827,0.3194181734176078,0.09631028590418816,3.316553059923141,0.0009113528015512279,0.04604798685672295
DNAI3,19.571364373144853,1.273650691774223,0.3211877952089617,3.9654392563254097,7.32609080652425e-05,0.008016006461442102
VCAM1,34.45960629210619,2.4959866165695805,0.4605483334018554,5.419597543938316,5.973335151874409e-08,3.230414640050575e-05
AXDND1,10.617272618297537,0.775488162234695,0.22921473892108452,3.3832386428766474,0.0007163635487407783,0.04008982674619689
ACP6,2482.076580219625,-0.7094880449032133,0.16657864995875774,-4.259177542133229,2.0518045604273324e-05,0.0031151105505703197
KLHDC8A,15.726453309005013,1.4530425835492924,0.3996204585971515,3.6360565438769794,0.00027684358856301845,0.02011956572572713
LRRTM1,19.989599864981653,-3.7197018280759586,0.6533381074680976,-5.693379561910203,1.2454908217188478e-08,8.233472763325159e-06
ARL5A,3036.1271826900374,0.26946378046832314,0.08076193508960627,3.336519613718394,0.0008483444246632876,0.043913241336037155
FRZB,30.84474541144256,1.3607166444147276,0.3553901171323515,3.8287970847202275,0.00012877112163344829,0.012053204898380375
ACTG2,23.383366162753312,1.3349253540210317,0.3866473314253603,3.452565802277444,0.0005552820229772006,0.0329956065001677
VSNL1,463.8564263161858,-1.8980801564685152,0.5033551525533828,-3.7708567138730467,0.00016268806989805796,0.01426037333131292
SPATA18,103.60160166121666,2.2613189679399084,0.46992604294942236,4.812074159046537,1.493719031058805e-06,0.0004188770727602763
BNIPL,140.90431877372208,-1.0833087829283963,0.29321203520266553,-3.6946259118580276,0.00022021075185161233,0.017259635470014474
SPRR3,106.81721968473346,-3.531271237285984,0.5743611576651013,-6.148172086777843,7.838096951199701e-10,8.290355145283925e-07
SUCLG1,5220.275972347501,0.31242080644162257,0.09191578940250074,3.398989536754417,0.0006763530378686806,0.03839241188660305
